Circumstances;Total;Husband;Wife;Mother;Father;Son;Daughter;Brother;Sister;Otherfamily;Acquaintance;Friend;Boyfriend;Girlfriend;Neighbor;Employee;Employer;Stranger;Unknown;;;
Total            ;12 253;108;534;128;142;230;148;99;30;245;2 660;346;137;458;127;6;2;1 281;5 572;;;
Felony type total:;1 909;3;28;10;13;20;15;10;4;31;477;53;9;20;26;2;0;390;798;;; 
Rape;20;0;1;0;0;0;0;0;0;2;6;1;0;1;1;0;0;4;4;;;
Robbery;686;1;0;0;4;0;0;0;0;6;151;15;1;1;8;2;0;240;257;;;
Burglary;94;0;0;0;0;0;0;0;0;1;22;1;1;2;3;0;0;23;41;;;
Larceny-theft;16;0;0;0;0;0;0;0;0;2;2;1;0;0;2;0;0;2;7;;;
Motor vehicle theft;27;0;2;1;2;0;0;0;0;4;5;1;0;1;1;0;0;4;6;;;
Arson;37;0;0;1;1;0;0;4;2;2;11;0;1;0;4;0;0;6;5;;;
Prostitution and commercialized vice;13;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;2;4;;;
Other sex offenses;9;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;2;2;;;
Narcotic drug laws;386;0;0;0;0;0;1;2;0;0;146;11;1;2;0;0;0;28;195;;;
Gambling;7;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;3;;;
Other-not specified ;614;2;25;8;6;20;14;4;2;13;121;21;5;13;7;0;0;79;274;;;
Suspected felony type;122;1;5;4;2;2;2;0;1;2;16;2;0;6;1;0;0;6;72;;;
Other than felony type total:;5 782;89;410;72;102;173;94;72;19;163;1 644;210;109;348;83;4;2;617;1 571;;;
Romantic triangle;69;0;2;0;1;0;0;0;0;0;36;8;3;9;0;0;0;3;7;;;
Child killed by babysitter;30;0;0;0;0;2;0;0;0;2;25;0;0;0;1;0;0;0;0;;;
Brawl due to influence of alcohol;93;0;4;1;2;1;1;1;0;6;27;14;0;3;1;0;0;21;11;;;
Brawl due to influence of narcotics;59;0;1;0;1;0;0;0;0;1;28;5;1;2;1;0;0;6;13;;;
Argument over money or property;133;0;4;3;0;1;0;3;1;6;59;14;1;6;4;0;0;11;20;;;
Other arguments;2 889;65;298;46;74;39;14;56;10;98;891;117;90;273;56;2;2;250;508;;;
Gangland killings;138;0;1;0;0;0;0;0;0;0;40;0;0;0;0;0;0;24;73;;;
Juvenile gang killings;584;0;0;0;0;0;0;0;0;0;106;1;0;0;1;0;0;80;396;;;
Institutional killings;15;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;3;2;;;
Sniper attack;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;;;
Other-not specified ;1 766;24;100;22;24;130;79;12;8;50;420;51;14;55;19;2;0;217;539;;;
Unknown;4 440;15;91;42;25;35;37;17;6;49;523;81;19;84;17;0;0;268;3 131;;;
